,date,diesel,e5,e10
6428,2014-06-08 09:50:01+02,1.459,1.669,1.629
14865,2014-06-08 11:22:01+02,1.329,1.579,1.539
20628,2014-06-08 18:06:01+02,1.459,1.669,1.629
20786,2014-06-08 18:26:01+02,1.479,1.689,1.649
7418,2014-06-09 00:02:01+02,1.459,1.669,1.629
28618,2014-06-09 04:34:01+02,1.359,1.559,1.519
37519,2014-06-09 06:46:01+02,1.339,1.539,1.499
57453,2014-06-09 15:02:01+02,1.459,1.669,1.629
60811,2014-06-09 16:10:01+02,1.479,1.689,1.649
423,2014-06-10 00:06:01+02,1.459,1.669,1.629
6111,2014-06-10 01:14:01+02,1.409,1.609,1.569
25174,2014-06-10 05:10:01+02,1.379,1.589,1.549
35443,2014-06-10 07:26:01+02,1.329,1.549,1.509
55095,2014-06-10 11:58:01+02,1.319,1.539,1.499
64524,2014-06-10 15:02:01+02,1.459,1.679,1.639
68158,2014-06-10 16:06:01+02,1.479,1.699,1.659
147,2014-06-11 00:02:01+02,1.459,1.679,1.639
16395,2014-06-11 03:22:01+02,1.369,1.569,1.529
62063,2014-06-11 15:02:01+02,1.469,1.679,1.639
65576,2014-06-11 16:06:01+02,1.489,1.699,1.659
164,2014-06-12 00:02:01+02,1.469,1.679,1.639
27336,2014-06-12 05:18:01+02,1.369,1.569,1.529
40899,2014-06-12 08:30:01+02,1.329,1.559,1.519
64163,2014-06-12 15:02:01+02,1.479,1.689,1.649
68068,2014-06-12 16:10:01+02,1.499,1.709,1.669
188,2014-06-13 00:02:01+02,1.479,1.689,1.649
16285,2014-06-13 03:06:01+02,1.409,1.609,1.569
41100,2014-06-13 08:30:01+02,1.369,1.579,1.539
60301,2014-06-13 15:06:01+02,1.489,1.699,1.659
63333,2014-06-13 16:06:01+02,1.509,1.719,1.679
80,2014-06-14 00:02:01+02,1.489,1.699,1.659
16915,2014-06-14 03:54:01+02,1.369,1.699,1.659
19391,2014-06-14 04:22:01+02,1.369,1.569,1.529
49781,2014-06-14 13:10:01+02,1.319,1.549,1.509
54863,2014-06-14 15:02:01+02,1.489,1.699,1.659
57961,2014-06-14 16:10:01+02,1.509,1.719,1.679
112,2014-06-15 00:06:01+02,1.489,1.699,1.659
24166,2014-06-15 06:50:01+02,1.409,1.619,1.579
32528,2014-06-15 09:34:01+02,1.329,1.559,1.519
43291,2014-06-15 15:02:01+02,1.489,1.699,1.659
45812,2014-06-15 16:02:01+02,1.509,1.719,1.679
168,2014-06-16 00:02:01+02,1.489,1.699,1.659
9619,2014-06-16 02:02:02+02,1.419,1.619,1.579
16811,2014-06-16 03:14:01+02,1.399,1.619,1.579
36209,2014-06-16 07:30:01+02,1.359,1.589,1.549
47280,2014-06-16 10:14:01+02,1.339,1.559,1.519
63591,2014-06-16 15:02:01+02,1.489,1.699,1.659
67686,2014-06-16 16:06:01+02,1.509,1.719,1.679
79,2014-06-17 00:02:01+02,1.489,1.699,1.659
18211,2014-06-17 04:18:01+02,1.409,1.619,1.579
30746,2014-06-17 07:06:01+02,1.359,1.579,1.539
61545,2014-06-17 15:02:01+02,1.489,1.699,1.659
65434,2014-06-17 16:14:01+02,1.509,1.719,1.679
437,2014-06-18 00:06:01+02,1.489,1.699,1.659
10404,2014-06-18 02:06:01+02,1.419,1.619,1.579
23265,2014-06-18 04:26:01+02,1.399,1.619,1.579
40135,2014-06-18 08:22:01+02,1.349,1.569,1.529
56674,2014-06-18 12:02:01+02,1.329,1.549,1.509
64345,2014-06-18 15:02:01+02,1.489,1.699,1.659
68127,2014-06-18 16:10:01+02,1.509,1.719,1.679
263,2014-06-19 00:06:01+02,1.489,1.699,1.659
19226,2014-06-19 04:18:01+02,1.489,1.589,1.549
20955,2014-06-19 04:38:01+02,1.359,1.589,1.549
38230,2014-06-19 09:10:01+02,1.359,1.579,1.539
55629,2014-06-19 15:02:01+02,1.489,1.699,1.659
58851,2014-06-19 16:10:01+02,1.509,1.719,1.679
460,2014-06-20 00:06:01+02,1.489,1.699,1.659
19564,2014-06-20 03:42:01+02,1.369,1.599,1.559
29046,2014-06-20 05:46:01+02,1.369,1.589,1.549
62156,2014-06-20 15:06:01+02,1.489,1.699,1.659
64695,2014-06-20 16:06:01+02,1.509,1.719,1.679
235,2014-06-21 00:06:01+02,1.489,1.699,1.659
58380,2014-06-21 16:06:01+02,1.509,1.719,1.679
123,2014-06-22 00:06:01+02,1.489,1.699,1.659
37115,2014-06-22 11:22:01+02,1.349,1.579,1.539
45029,2014-06-22 15:02:01+02,1.489,1.699,1.659
47839,2014-06-22 16:06:01+02,1.509,1.719,1.679
276,2014-06-23 00:06:01+02,1.489,1.699,1.659
12119,2014-06-23 02:18:01+02,1.419,1.629,1.589
49760,2014-06-23 10:22:01+02,1.369,1.599,1.559
64322,2014-06-23 15:02:01+02,1.489,1.699,1.659
67339,2014-06-23 16:06:01+02,1.509,1.719,1.679
202,2014-06-24 00:02:01+02,1.489,1.699,1.659
22144,2014-06-24 04:06:01+02,1.389,1.619,1.579
51376,2014-06-24 10:34:01+02,1.389,1.609,1.569
67755,2014-06-24 15:06:01+02,1.499,1.699,1.659
70383,2014-06-24 16:06:01+02,1.519,1.719,1.679
145,2014-06-25 00:02:01+02,1.499,1.699,1.659
21933,2014-06-25 04:02:01+02,1.379,1.599,1.559
66081,2014-06-25 15:02:01+02,1.499,1.699,1.659
69250,2014-06-25 16:10:01+02,1.519,1.719,1.679
533,2014-06-26 00:06:01+02,1.499,1.699,1.659
9933,2014-06-26 01:54:01+02,1.379,1.599,1.559
36344,2014-06-26 07:14:01+02,1.359,1.599,1.559
64842,2014-06-26 15:02:01+02,1.499,1.699,1.659
68143,2014-06-26 16:14:01+02,1.519,1.719,1.679
287,2014-06-27 00:02:01+02,1.499,1.699,1.659
13440,2014-06-27 02:26:01+02,1.379,1.699,1.659
16657,2014-06-27 03:02:01+02,1.379,1.589,1.549
61304,2014-06-27 13:10:01+02,1.339,1.559,1.519
67174,2014-06-27 15:06:01+02,1.499,1.699,1.659
69903,2014-06-27 16:06:01+02,1.519,1.719,1.679
188,2014-06-28 00:06:01+02,1.499,1.699,1.659
26503,2014-06-28 06:58:01+02,1.379,1.599,1.559
51968,2014-06-28 15:02:01+02,1.499,1.699,1.659
55109,2014-06-28 16:10:01+02,1.519,1.719,1.679
102,2014-06-29 00:06:01+02,1.499,1.699,1.659
24345,2014-06-29 06:26:01+02,1.379,1.559,1.519
47331,2014-06-29 15:02:01+02,1.499,1.699,1.659
50151,2014-06-29 16:06:02+02,1.519,1.719,1.679
197,2014-06-30 00:02:01+02,1.499,1.699,1.659
11554,2014-06-30 02:10:01+02,1.389,1.589,1.549
67894,2014-06-30 15:02:01+02,1.499,1.699,1.659
71013,2014-06-30 16:10:01+02,1.519,1.719,1.679
583,2014-07-01 00:10:01+02,1.499,1.699,1.659
11260,2014-07-01 02:10:01+02,1.419,1.629,1.589
50592,2014-07-01 10:42:01+02,1.349,1.569,1.529
63027,2014-07-01 15:06:01+02,1.489,1.699,1.659
66448,2014-07-01 16:14:01+02,1.509,1.719,1.679
403,2014-07-02 00:06:01+02,1.489,1.699,1.659
14348,2014-07-02 02:42:01+02,1.419,1.629,1.589
33392,2014-07-02 06:38:01+02,1.379,1.609,1.569
65270,2014-07-02 15:06:01+02,1.489,1.689,1.649
13813,2014-07-03 02:26:01+02,1.419,1.629,1.589
41468,2014-07-03 07:58:01+02,1.419,1.589,1.549
41924,2014-07-03 08:06:01+02,1.369,1.589,1.549
68151,2014-07-03 15:06:01+02,1.489,1.689,1.649
25046,2014-07-04 05:30:01+02,1.389,1.589,1.549
40021,2014-07-04 08:06:01+02,1.379,1.589,1.549
61070,2014-07-04 15:06:01+02,1.479,1.689,1.649
6022,2014-07-05 01:50:01+02,1.419,1.629,1.589
26649,2014-07-05 05:42:01+02,1.399,1.629,1.589
54870,2014-07-05 15:02:01+02,1.479,1.689,1.649
33194,2014-07-06 09:06:01+02,1.349,1.579,1.539
45421,2014-07-06 15:02:01+02,1.479,1.689,1.649
12178,2014-07-07 02:26:01+02,1.419,1.629,1.589
36951,2014-07-07 07:22:01+02,1.419,1.589,1.549
37453,2014-07-07 07:30:01+02,1.319,1.589,1.549
55543,2014-07-07 11:46:01+02,1.319,1.559,1.519
64457,2014-07-07 15:06:01+02,1.479,1.689,1.649
27019,2014-07-08 05:14:01+02,1.349,1.579,1.539
42958,2014-07-08 08:34:01+02,1.339,1.569,1.529
65610,2014-07-08 15:06:01+02,1.479,1.689,1.649
25981,2014-07-09 04:46:01+02,1.349,1.579,1.539
52392,2014-07-09 10:38:01+02,1.339,1.579,1.539
67089,2014-07-09 15:06:01+02,1.479,1.689,1.649
9544,2014-07-10 02:18:01+02,1.409,1.619,1.579
32012,2014-07-10 06:30:01+02,1.349,1.579,1.539
63529,2014-07-10 15:02:01+02,1.479,1.689,1.649
26440,2014-07-11 04:50:01+02,1.349,1.579,1.539
56815,2014-07-11 11:26:01+02,1.319,1.559,1.519
67520,2014-07-11 15:06:01+02,1.479,1.689,1.649
35602,2014-07-12 07:42:01+02,1.349,1.569,1.529
45999,2014-07-12 11:46:01+02,1.329,1.569,1.529
53180,2014-07-12 15:02:01+02,1.479,1.689,1.649
4606,2014-07-13 01:50:01+02,1.399,1.619,1.579
31330,2014-07-13 09:38:01+02,1.329,1.559,1.519
39789,2014-07-13 15:02:01+02,1.479,1.689,1.649
23740,2014-07-14 04:30:01+02,1.349,1.579,1.539
42897,2014-07-14 08:42:01+02,1.329,1.579,1.539
64529,2014-07-14 15:02:01+02,1.479,1.689,1.649
14090,2014-07-15 02:30:01+02,1.379,1.609,1.569
47180,2014-07-15 09:50:01+02,1.359,1.599,1.559
64109,2014-07-15 15:06:01+02,1.479,1.689,1.649
13118,2014-07-16 02:30:01+02,1.349,1.579,1.539
39858,2014-07-16 07:50:02+02,1.319,1.549,1.509
55567,2014-07-16 12:38:01+02,1.309,1.549,1.509
61680,2014-07-16 15:06:01+02,1.479,1.679,1.639
15050,2014-07-17 02:46:01+02,1.349,1.579,1.539
46374,2014-07-17 09:30:01+02,1.329,1.559,1.519
66670,2014-07-17 15:06:01+02,1.489,1.679,1.639
20385,2014-07-18 04:10:01+02,1.349,1.579,1.539
48297,2014-07-18 10:10:01+02,1.329,1.539,1.499
65609,2014-07-18 15:06:01+02,1.489,1.679,1.639
10038,2014-07-19 02:34:01+02,1.399,1.609,1.569
54765,2014-07-19 15:02:01+02,1.489,1.679,1.639
21821,2014-07-20 06:34:01+02,1.329,1.539,1.499
38200,2014-07-20 15:02:01+02,1.489,1.679,1.639
18941,2014-07-21 03:18:01+02,1.329,1.589,1.549
35226,2014-07-21 06:22:01+02,1.329,1.539,1.499
52463,2014-07-21 10:22:01+02,1.319,1.539,1.499
72953,2014-07-21 17:06:01+02,1.489,1.679,1.639
11770,2014-07-22 02:06:01+02,1.339,1.559,1.519
52434,2014-07-22 10:30:02+02,1.309,1.539,1.499
